,X,Y,Z,Activity
933,-0.91,3.68,9.72,Upstairs
934,-1.06,3.58,9.71,Upstairs
935,-0.61,3.7,9.13,Upstairs
936,-0.43,3.28,9.68,Upstairs
937,-0.96,3.62,9.45,Upstairs
938,-1.09,3.49,9.63,Upstairs
939,-0.81,3.68,9.26,Upstairs
940,-0.75,3.74,8.9,Upstairs
941,-0.68,3.67,8.45,Upstairs
942,-0.59,3.69,8.39,Upstairs
943,-0.6,3.46,8.96,Upstairs
944,-0.51,3.29,10.02,Upstairs
945,-0.53,3.45,9.96,Upstairs
946,-0.57,3.38,8.94,Upstairs
947,-0.56,3.43,8.89,Upstairs
948,-0.56,3.38,9.44,Upstairs
949,-0.97,3.3,10.1,Upstairs
950,-0.76,3.44,9.93,Upstairs
951,-0.72,3.34,9.25,Upstairs
952,-0.9,3.6,9.23,Upstairs
953,-1.02,3.75,9.18,Upstairs
954,-1.12,3.14,7.82,Upstairs
955,-1.03,3.55,8.98,Upstairs
956,-0.56,3.59,9.71,Upstairs
957,-0.78,3.56,9.0,Upstairs
958,-1.04,3.48,8.55,Upstairs
959,-0.86,3.38,9.55,Upstairs
960,-0.7,3.23,10.16,Upstairs
961,-1.04,3.41,10.0,Upstairs
962,-0.76,3.4,9.47,Upstairs
963,-0.97,3.48,8.94,Upstairs
964,-0.83,3.63,8.42,Upstairs
965,-0.89,3.55,8.39,Upstairs
966,-0.74,3.49,8.95,Upstairs
967,-0.79,3.54,9.89,Upstairs
968,-0.3,3.45,9.99,Upstairs
