timeElapsed,x,y,z,label
1080,1.51,-8.53,1.25,Standing
1081,1.51,-8.62,1.17,Standing
1082,1.53,-8.6,1.04,Standing
1083,1.49,-8.53,0.95,Standing
1084,1.51,-8.58,0.81,Standing
1085,1.57,-8.66,0.9,Standing
1086,1.7,-8.77,0.92,Standing
1087,1.96,-8.61,0.9,Standing
1088,1.93,-8.47,1.01,Standing
1089,1.79,-8.54,1.01,Standing
1090,1.76,-8.6,0.98,Standing
1091,1.81,-8.61,0.95,Standing
1092,1.74,-8.54,0.91,Standing
1093,1.7,-8.53,0.91,Standing
1094,1.7,-8.6,0.9,Standing
1095,1.78,-8.62,0.97,Standing
1096,1.81,-8.65,1.06,Standing
1097,1.72,-8.65,1.14,Standing
1098,1.61,-8.56,1.19,Standing
1099,1.52,-8.53,0.99,Standing
1100,1.42,-8.61,0.98,Standing
1101,1.41,-8.63,1.15,Standing
1102,1.47,-8.65,1.19,Standing
1103,1.52,-8.65,1.11,Standing
1104,1.55,-8.54,1.01,Standing
1105,1.62,-8.59,1.03,Standing
1106,1.59,-8.81,1.12,Standing
1107,1.42,-8.75,1.08,Standing
1108,1.32,-8.58,0.96,Standing
1109,1.25,-8.53,0.91,Standing
1110,1.26,-8.65,1.02,Standing
1111,1.37,-8.74,1.06,Standing
1112,1.42,-8.75,0.93,Standing
1113,1.35,-8.7,0.83,Standing
1114,1.41,-8.76,0.83,Standing
1115,1.56,-8.86,0.82,Standing
1116,1.65,-8.87,0.72,Standing
1117,1.57,-8.79,0.82,Standing
1118,1.43,-8.77,1.1,Standing
1119,1.27,-8.81,1.23,Standing
1120,1.04,-8.61,1.27,Standing
1121,0.8,-8.36,1.23,Standing
1122,0.72,-8.31,1.25,Standing
1123,0.89,-8.42,1.17,Standing
1124,1.29,-8.6,0.93,Standing
1125,1.56,-8.74,0.57,Standing
1126,1.52,-8.75,0.18,Standing
1127,1.52,-8.6,0.11,Standing
1128,1.94,-8.54,0.27,Standing
1129,2.46,-8.62,0.21,Standing
1130,2.61,-8.7,0.13,Standing
1131,2.45,-8.7,0.03,Standing
1132,2.43,-8.67,-0.06,Standing
1133,2.64,-8.66,-0.02,Standing
1134,2.51,-8.8,0.11,Standing
1135,2.01,-8.83,0.21,Standing
1136,1.8,-8.48,0.35,Standing
1137,1.78,-8.37,0.42,Standing
1138,1.54,-8.7,0.33,Standing
1139,1.24,-8.91,0.03,Standing
1140,1.07,-8.66,0.02,Standing
1141,1.12,-8.42,0.24,Standing
1142,1.51,-8.54,0.49,Standing
1143,1.96,-8.63,0.41,Standing
1144,2.06,-8.65,0.16,Standing
1145,1.67,-8.83,0.2,Standing
1146,1.65,-8.96,0.38,Standing
1147,1.93,-8.56,0.4,Standing
1148,2,-8.23,0.36,Standing
1149,1.57,-8.27,0.38,Standing
1150,1.14,-8.78,-0.03,Standing
1151,1.31,-9.33,-0.41,Standing
1152,1.89,-8.92,0.01,Standing
1153,2.12,-8.53,0.19,Standing
1154,1.93,-8.47,0.22,Standing
1155,1.87,-8.58,0.29,Standing
1156,1.76,-8.8,0.13,Standing
1157,1.54,-8.9,-0.02,Standing
1158,1.49,-8.76,0.26,Standing
1159,1.48,-8.55,0.36,Standing
1160,1.25,-8.53,0.2,Standing
1161,1.08,-8.69,0.23,Standing
1162,1.38,-8.7,0.1,Standing
1163,1.9,-8.65,0.18,Standing
1164,2.17,-8.75,0.38,Standing
1165,1.89,-8.81,0.16,Standing
1166,1.76,-8.57,0.05,Standing
1167,1.86,-8.54,0.13,Standing
1168,1.74,-8.78,0.22,Standing
1169,1.54,-8.91,0.08,Standing
1170,1.42,-8.84,0.13,Standing
1171,1.29,-8.65,0.28,Standing
1172,1.34,-8.51,0.48,Standing
1173,1.46,-8.51,0.63,Standing
1174,1.46,-8.62,0.7,Standing
